Provincie,Regio,Type,Bevolking,Eenzaamheid
Sittard_Geleen,Zuid_Limburg,Eenzaam,93319,35 
Stein,Zuid_Limburg,Eenzaam,25059,48 
Onderbanken,Zuid_Limburg,Eenzaam,7865,47
Schinnen,Zuid_Limburg,Eenzaam,12954,44 
Beek,Zuid_Limburg,Eenzaam,15951,43
Meerssen,Zuid_Limburg,Eenzaam,19072,44
Brunssum,Zuid_Limburg,Eenzaam,28358,50 
Heerlen,Zuid_Limburg,Eenzaam,87189,50
Nuth,Zuid_Limburg,Eenzaam,15305,41
Maastricht,Zuid_Limburg,Eenzaam,122753,47 
Valkenburg aan de Geul,Zuid_Limburg,Eenzaam,16440,46 
Voerendaal,Zuid_Limburg,Eenzaam,25297,48
Landgraaf,Zuid_Limburg,Eenzaam,37458,48 
Kerkrade,Zuid_Limburg,Eenzaam,45937,54
Simpelveld,Zuid_Limburg,Eenzaam,10571,44 
Gulpen-Witten,Zuid_Limburg,Eenzaam,14337,45 
Vaals,Zuid_Limburg,Eenzaam,9710,51 
Eijsden-Magraten,Zuid_Limburg,Eenzaam,25297,43 
Asten,Brabant_Zuid_Oost,Eenzaam,16755,39 
Bergeijk,Brabant_Zuid_Oost,Eenzaam,18465,38 
Best,Brabant_Zuid_Oost,Eenzaam,29235,39 
Bladel,Brabant_Zuid_Oost,Eenzaam,20205,36 
Cranendonck,Brabant_Zuid_Oost,Eenzaam,20705,43 
Deurne,Brabant_Zuid_Oost,Eenzaam,32110,36 
Eersel,Brabant_Zuid_Oost,Eenzaam,18750,32 
Geldrop-Mierlo,Brabant_Zuid_Oost,Eenzaam,39405,41 
Gemert-Bakel,Brabant_Zuid_Oost,Eenzaam,30470,43 
Heeze-Leende,Brabant_Zuid_Oost,Eenzaam,15730,39 
Helmond,Brabant_Zuid_Oost,Eenzaam,91725,42 
Laarbeek,Brabant_Zuid_Oost,Eenzaam,22110,37 
Nuenen,Brabant_Zuid_Oost,Eenzaam,22895,39 
Oirschot,Brabant_Zuid_Oost,Eenzaam,18570,37 
Reusel-De Mierden,Brabant_Zuid_Oost,Eenzaam,13110,37 
Someren,Brabant_Zuid_Oost,Eenzaam,19235,36 
Son en Breugel,Brabant_Zuid_Oost,Eenzaam,16875,40 
Valkenswaard,Brabant_Zuid_Oost,Eenzaam,30400,38 
Veldhoven,Brabant_Zuid_Oost,Eenzaam,45260,40 
Waalre,Brabant_Zuid_Oost,Eenzaam,17060,38 
Borsele,Zeeland,Eenzaam,22733,44 
Goes,Zeeland,Eenzaam,37553,42 
Hulst,Zeeland,Eenzaam,27432,42 
Kapelle,Zeeland,Eenzaam,12671,41 
Middelburg,Zeeland,Eenzaam,48265,42 
Noord-Beveland,Zeeland,Eenzaam,7327,45 
Reimerswaal,Zeeland,Eenzaam,22432,39 
Schouwen-Duiveland,Zeeland,Eenzaam,33723,43 
Sluis,Zeeland,Eenzaam,23608,49 
Terneuzen,Zeeland,Eenzaam,54473,47 
Tholen,Zeeland,Eenzaam,25547,47 
Veere,Zeeland,Eenzaam,21890,42 
Vlissingen,Zeeland,Eenzaam,44566,51 
West,Utrecht,Eenzaam,29357,39 
Noordwest,Utrecht,Eenzaam,43803,43 
Overvecht,Utrecht,Eenzaam,34261,53 
Noordoost,Utrecht,Eenzaam,38934,38 
Oost,Utrecht,Eenzaam,32893,38 
Binnenstad,Utrecht,Eenzaam,18134,39 
Zuid,Utrecht,Eenzaam,27338,42 
Zuidwest,Utrecht,Eenzaam,38001,46 
Leidsche Rijn,Utrecht,Eenzaam,36544,42 
Vleuten-De Meern,Utrecht,Eenzaam,48309,41 
