

eenzaamheid-utrecht-emotioneel_eenzaam-19 t/m 39, 31
eenzaamheid-utrecht-emotioneel_eenzaam-40 t/m 54, 37
eenzaamheid-utrecht-emotioneel_eenzaam-55 t/m 64, 35
eenzaamheid-utrecht-emotioneel_eenzaam-65 t/m 79, 35
eenzaamheid-utrecht-emotioneel_eenzaam-80+, 54


eenzaamheid-utrecht-sociaal_eenzaam-19 t/m 39, 32
eenzaamheid-utrecht-sociaal_eenzaam-40 t/m 54, 47
eenzaamheid-utrecht-sociaal_eenzaam-55 t/m 64, 50
eenzaamheid-utrecht-sociaal_eenzaam-65 t/m 79, 53
eenzaamheid-utrecht-sociaal_eenzaam-80+, 48



eenzaamheid-nederland-emotioneel_eenzaam-19 t/m 34, 32
eenzaamheid-nederland-emotioneel_eenzaam-35 t/m 49, 30
eenzaamheid-nederland-emotioneel_eenzaam-50 t/m 64, 29
eenzaamheid-nederland-emotioneel_eenzaam-65 t/m 74, 26
eenzaamheid-nederland-emotioneel_eenzaam-75 t/m 84, 37
eenzaamheid-nederland-emotioneel_eenzaam-85+, 53


eenzaamheid-nederland-sociaal_eenzaam-19 t/m 34, 36
eenzaamheid-nederland-sociaal_eenzaam-35 t/m 49, 42
eenzaamheid-nederland-sociaal_eenzaam-50 t/m 64, 47
eenzaamheid-nederland-sociaal_eenzaam-65 t/m 74, 47
eenzaamheid-nederland-sociaal_eenzaam-75 t/m 84, 50
eenzaamheid-nederland-sociaal_eenzaam-85+, 52

