
zeeland-nieteenzaam, 1340


zeeland-eenzaamheid-borsele-19 t/m 64-eenzaam,39
zeeland-eenzaamheid-borsele-19 t/m 64-sterkeenzaam, 11

zeeland-eenzaamheid-borsele-65+-eenzaam,48
zeeland-eenzaamheid-borsele-65+-sterkeenzaam,10

zeeland-eenzaamheid-goes-19 t/m 64-eenzaam,35
zeeland-eenzaamheid-goes-19 t/m 64-sterkeenzaam, 8

zeeland-eenzaamheid-goes-65+-eenzaam,48
zeeland-eenzaamheid-goes-65+-sterkeenzaam,10

zeeland-eenzaamheid-hulst-19 t/m 64-eenzaam,41
zeeland-eenzaamheid-hulst-19 t/m 64-sterkeenzaam, 8

zeeland-eenzaamheid-hulst-65+-eenzaam,58
zeeland-eenzaamheid-hulst-65+-sterkeenzaam,12

zeeland-eenzaamheid-kapelle-19 t/m 64-eenzaam,40
zeeland-eenzaamheid-kapelle-19 t/m 64-sterkeenzaam, 6

zeeland-eenzaamheid-kapelle-65+-eenzaam,54
zeeland-eenzaamheid-kapelle-65+-sterkeenzaam,10

zeeland-eenzaamheid-middelburg-19 t/m 64-eenzaam,44
zeeland-eenzaamheid-middelburg-19 t/m 64-sterkeenzaam, 13

zeeland-eenzaamheid-middelburg-65+-eenzaam,46
zeeland-eenzaamheid-middelburg-65+-sterkeenzaam,10

zeeland-eenzaamheid-noord_beveland-19 t/m 64-eenzaam,40
zeeland-eenzaamheid-noord_beveland-19 t/m 64-sterkeenzaam, 9

zeeland-eenzaamheid-noord_beveland-65+-eenzaam,52
zeeland-eenzaamheid-noord_beveland-65+-sterkeenzaam,9

zeeland-eenzaamheid-reimerswaal-19 t/m 64-eenzaam,42
zeeland-eenzaamheid-reimerswaal-19 t/m 64-sterkeenzaam, 10

zeeland-eenzaamheid-reimerswaal-65+-eenzaam,55
zeeland-eenzaamheid-reimerswaal-65+-sterkeenzaam,12

zeeland-eenzaamheid-schouwen_duiveland-19 t/m 64-eenzaam,38
zeeland-eenzaamheid-schouwen_duiveland-19 t/m 64-sterkeenzaam, 13

zeeland-eenzaamheid-schouwen_duiveland-65+-eenzaam,52
zeeland-eenzaamheid-schouwen_duiveland-65+-sterkeenzaam,10

zeeland-eenzaamheid-sluis-19 t/m 64-eenzaam,49
zeeland-eenzaamheid-sluis-19 t/m 64-sterkeenzaam, 9

zeeland-eenzaamheid-sluis-65+-eenzaam,54
zeeland-eenzaamheid-sluis-65+-sterkeenzaam,16

zeeland-eenzaamheid-terneuzen-19 t/m 64-eenzaam,49
zeeland-eenzaamheid-terneuzen-19 t/m 64-sterkeenzaam, 13

zeeland-eenzaamheid-terneuzen-65+-eenzaam,59
zeeland-eenzaamheid-terneuzen-65+-sterkeenzaam,11

zeeland-eenzaamheid-tholen-19 t/m 64-eenzaam,46
zeeland-eenzaamheid-tholen-19 t/m 64-sterkeenzaam, 13

zeeland-eenzaamheid-tholen-65+-eenzaam,51
zeeland-eenzaamheid-tholen-65+-sterkeenzaam,12

zeeland-eenzaamheid-veere-19 t/m 64-eenzaam,39
zeeland-eenzaamheid-veere-19 t/m 64-sterkeenzaam, 8

zeeland-eenzaamheid-veere-65+-eenzaam,49
zeeland-eenzaamheid-veere-65+-sterkeenzaam,12

zeeland-eenzaamheid-vlissingen-19 t/m 64-eenzaam,49
zeeland-eenzaamheid-vlissingen-19 t/m 64-sterkeenzaam, 12

zeeland-eenzaamheid-vlissingen-65+-eenzaam,57
zeeland-eenzaamheid-vlissingen-65+-sterkeenzaam,12







